FDR,TPR
0.3,0.003320683111954459
0.3,0.006641366223908918
0.26666666666666666,0.010436432637571158
0.25,0.014231499051233396
0.2,0.018975332068311195
0.18333333333333332,0.023244781783681213
0.21428571428571427,0.026091081593927895
0.225,0.029411764705882353
0.2222222222222222,0.03320683111954459
0.23,0.03652751423149905
0.22727272727272727,0.04032258064516129
0.225,0.04411764705882353
0.23076923076923078,0.04743833017077799
0.22857142857142856,0.051233396584440226
0.24666666666666667,0.053605313092979126
0.24375,0.05740037950664137
0.24705882352941178,0.06072106261859583
0.25,0.06404174573055028
0.25263157894736843,0.06736242884250475
0.255,0.0706831119544592
0.2619047619047619,0.07352941176470588
0.2590909090909091,0.07732447817836813
0.26521739130434785,0.0801707779886148
0.275,0.0825426944971537
0.276,0.08586337760910816
0.27692307692307694,0.08918406072106262
0.27037037037037037,0.09345351043643264
0.26785714285714285,0.09724857685009487
0.25862068965517243,0.10199240986717267
0.26666666666666666,0.10436432637571158
0.2645161290322581,0.10815939278937381
0.259375,0.11242884250474383
0.26666666666666666,0.11480075901328274
0.2676470588235294,0.11812144212523719
0.26571428571428574,0.12191650853889943
0.2611111111111111,0.12618595825426945
0.2594594594594595,0.12998102466793168
0.25263157894736843,0.1347248576850095
0.2512820512820513,0.13851992409867173
0.2525,0.1418406072106262
0.25121951219512195,0.14563567362428842
0.25476190476190474,0.1484819734345351
0.25116279069767444,0.1527514231499051
0.24772727272727274,0.15702087286527514
0.2511111111111111,0.15986717267552183
0.24782608695652175,0.16413662239089183
0.24680851063829787,0.16793168880455409
0.25,0.17077798861480076
0.24897959183673468,0.174573055028463
0.248,0.17836812144212524
0.24705882352941178,0.18216318785578747
0.24807692307692308,0.18548387096774194
0.24716981132075472,0.18927893738140417
0.24814814814814815,0.19259962049335863
0.24909090909090909,0.1959203036053131
0.2517857142857143,0.19876660341555977
0.25087719298245614,0.20256166982922202
0.2482758620689655,0.20683111954459202
0.2457627118644068,0.21110056925996204
0.24666666666666667,0.2144212523719165
0.2459016393442623,0.21821631878557876
0.24516129032258063,0.222011385199241
0.24444444444444444,0.22580645161290322
0.24375,0.22960151802656548
0.24461538461538462,0.2329222011385199
0.24848484848484848,0.23529411764705882
0.2507462686567164,0.2381404174573055
0.25,0.24193548387096775
0.25217391304347825,0.24478178368121442
0.25,0.24905123339658444
0.2507042253521127,0.2523719165085389
0.25277777777777777,0.25521821631878555
0.25205479452054796,0.25901328273244784
